impact,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"Methane (CH4) IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)",292427.1526566888,295914.18978560687,291907.25578980654,286919.6034839594,286710.22933439654,288242.60099661886,289893.14112206345,291038.7419073702,297206.29314548796,304475.472123377,309585.1994213226,315485.77580205706,318618.92439511366,322420.9180769914,321503.5814918638,329351.2064800151,337232.9136371514,341982.53647807223,343518.82301995653
"Nitrous Oxide (N2O) IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)",612.843527844859,721.1631159893107,743.6929759337779,748.9829026993764,760.3235260277809,777.4692720411595,771.9018675422449,778.2189656307098,791.0121364494693,824.0541326295692,839.7823567019373,864.6294546564803,886.4243768813703,884.9342287180547,861.8445078204636,906.9997782777983,922.8473190221116,914.3787522743147,927.0208546293593
"Carbon dioxide (CO2) CO2EQ IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)",22856256.93435262,22199103.093388237,22560593.1489759,22684585.121384326,22769714.8942394,23657779.09296378,23901278.483025298,24391349.27966896,25369559.07765664,26672875.610447966,27778033.51473173,28750686.03871622,29750587.47478719,30024081.115543544,29591002.210495688,31330358.36308465,32482755.861062046,32496183.51016628,32993259.526028562
"Methane (CH4) CO2EQ IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)",7153142.935909246,7239294.961115479,7141149.15557218,7013648.588590657,7006521.976294672,7045567.408675042,7083229.695611929,7109816.488783391,7264242.509888108,7441368.579234012,7568243.874254218,7713903.978403228,7787767.199552736,7882860.50957347,7859815.916249799,8052298.149025382,8242805.302975846,8361260.533423995,8401571.37349978
"Nitrous Oxide (N2O) CO2EQ IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)",2060455.0669472562,2104939.228183138,2087484.7977642817,2122547.56721088,2148482.7949740896,2144817.428651776,2186084.839215114,2212441.7938460265,2213426.256161792,2278145.3598153875,2293177.588695492,2322685.343955425,2382408.9153842754,2381446.7129704207,2375891.2262465833,2433551.5285887965,2516177.5534321573,2517055.180195656,2498130.702518885
Carbon dioxide (CO2) Fuel combustion and cement,22675256.687244058,22067293.01825266,22427740.616852842,22545925.23818661,22627961.95251566,23511643.937879983,23755679.563169517,24246459.574138902,25219444.736669928,26493747.751886606,27503874.706201136,28460612.88446349,29449672.169865213,29715627.834348775,29293651.05479731,31022464.001815174,32160909.228563122,32169314.237001058,32654406.436817233
Carbon dioxide (CO2) Fuel combustion,22211978.35393529,21540961.16472161,21883087.072484888,22010910.47451744,22066204.79179303,22920195.030253503,23130741.674854934,23579674.789939437,24498557.00946673,25724531.28260055,26688873.287969988,27571490.187424175,28492186.963739246,28746358.616370954,28277692.42101486,29937539.047459204,30995978.04238212,30977065.931990966,31418416.33886336
"GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 1999) | GWP100 (IPCC, 2007)",32155246368893.273,31628437605181.242,31871468103694.97,31903351063916.5,32005262093459.88,32935161547527.426,33255383116365.6,33801155286518.21,34937135203185.805,36478546114573.66,37728419478737.29,38878755922338.36,40014651836793.3,40383957792998.914,39918539094405.15,41911183544349.23,43337066915834.39,43564847821743.445,44034822642865.336
"GHG emissions (GWP100min) | Problem oriented approach: non baseline (CML, 1999) | net GWP100 min(Houghton et al., 2001)",32397811437741.14,31962163636119.54,32211094614244.42,32225698075488.305,32320108907150.805,33242936676423.9,33533955098580.52,34066374957779.055,35185228670706.9,36717570607061.01,37963763820509.75,39108941842445.34,40242957925814.24,40599366672488.95,40112892516990.65,42113336145437.85,43529843034202.81,43713074846192.73,44223099588285.53
"GHG emissions (GWP100max) | Problem oriented approach: non baseline (CML, 1999) | net GWP100 max(Houghton et al., 2001)",33226496967309.074,32862186239334.293,33104500961199.797,33091210726268.42,33171476893003.28,34076929711267.54,34345038547120.42,34866378918075.516,35973426821922.09,37496248662965.875,38742093379114.45,39887665683332.21,41022565316810.57,41380325282722.984,40881831642128.266,42902645330891.56,44319166203173.12,44520110581614.84,45016016055897.88
"GHG emissions (GWP20) | Problem oriented approach: non baseline (CML, 1999) | GWP20 (IPCC, 2007)",45513688638095.9,45147635511805.04,45207463311734.54,44998566662939.18,45086886298153.67,46088414969436.48,46478890771735.09,47073137301936.086,48498818577864.54,50372385971891.266,51859563262657.414,53282170375799.66,54554469495872.09,55102127899963.086,54594677487099.76,56946484724526.86,58727898356261.945,59118272046795.83,59711413491307.68
"GHG emissions (GWP500) | Problem oriented approach: non baseline (CML, 1999) | GWP500 (IPCC, 2007)",26205004015554.598,25596563978131.27,25915106100972.05,26018958296874.492,26112362430737.87,27019551147446.402,27292663396001.625,27808438499730.062,28837638867379.016,30222756553220.52,31378283039376.723,32414040005457.92,33470562840498.855,33774929177001.516,33326761650983.727,35158603258522.61,36411786862704.19,36531563208402.21,37027823745552.05
"ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)",2059394.7576191067,2023585.4828581638,2045566.9649542947,1992811.8563406768,1984314.6581206103,2017476.4551481914,1970416.95026168,1918204.6456566635,1859228.139240216,1827367.788287111,1803973.858115101,1776828.243972056,1755135.1059655962,1735738.1135291068,1694326.9259093425,1740991.2608694253,1760364.3587387376,25235339.041716963,1760294.4572376846
"human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)",126656817974470.62,123110548216587.0,118911984240147.72,114431372052830.45,111111488140151.38,162848992943193.1,121386491904119.95,115987011951420.14,118210675061381.64,127548160814359.77,133483657059540.56,151312143144524.4,167472508268677.53,161347959294120.34,134784334844399.47,169807643465353.25,189027114352805.12,219939165634652.7,203727151986725.03
"Freshwater aquatic ecotoxicity (FAETP inf) | Problem oriented approach: baseline (CML, 1999) | FAETP inf. (Huijbregts, 1999 & 2000)",126667111405.3935,120910933829.07268,117638320387.21835,113920249582.19098,111199171195.12482,140909588981.89392,118101895791.32071,115859208845.43115,119496242898.73608,127457761979.21785,134347602894.6579,145480124439.27832,156581935936.48157,151373886667.26242,131794439725.37323,155562290598.79474,170554397470.37283,207799141953.01935,181773078606.0119
"Marine aquatic ecotoxicity (MAETP inf) | Problem oriented approach: baseline (CML, 1999) | MAETP inf. (Huijbregts, 1999 & 2000)",453481987634309.3,457276746658793.7,445258812071116.56,433255522596171.44,430342246100382.5,498778301843520.06,441999834083727.4,447526456943533.56,471240271064220.2,495430865740146.3,518663084651411.75,555163531670172.7,592048321802285.2,552754505686979.3,493623706376445.25,566768396912640.0,615218542097863.1,648118923933473.5,641717922552209.1
"Freshwater sedimental ecotoxicity (FSETP inf) | Problem oriented approach: non baseline (CML, 1999) | FSETP inf. (Huijbregts, 1999 & 2000)",260531134126.5034,245248422100.30792,239283394667.09222,232519724224.40646,227793970800.909,266469819043.92737,238677697286.72833,237707133430.0072,247020755761.85992,263702292585.3103,280089956006.58417,297393407865.50916,316254404642.5997,307188977692.2578,272159278212.25677,311185383908.2385,338086419923.0379,361592611225.85095,357245291153.95325
"Marine sedimental ecotoxicity (MSETP inf) | Problem oriented approach: non baseline (CML, 1999) | MSETP inf. (Huijbregts, 1999 & 2000)",352139558560186.94,354649083625722.44,346118572763453.06,336129547981024.7,332994101867096.75,397442733055138.9,343738682062650.5,343812712267303.1,358320470536442.5,381020797040837.06,399766638135212.8,433113898613584.06,465128016743421.06,439098714284643.1,382283373771534.56,448895337594390.1,488909783547378.44,517827197026986.75,509299250325722.3
"Terrestrial ecotoxicity (TETP inf) | Problem oriented approach: baseline (CML, 1999) | TETP inf.(Huijbregts, 1999 & 2000)",614197951350.6036,607600689760.0834,595471046984.2986,580793646491.9348,574532854587.8013,695711602616.9603,612120359918.6827,631135358737.7792,675974866201.6292,770169067859.2139,852140252471.7208,979112062676.6442,1095867418443.2506,1045212712106.7352,834708765095.9727,1095839230797.5431,1248191534711.495,1358678170377.363,1300681293204.1846
"human toxicity (HTP20) | Problem oriented approach: non baseline (CML, 1999) | HTP 20 (Huijbregts, 1999 & 2000)",29342898515527.02,29561932407831.996,29045479332108.58,28459091833465.938,29038694804385.13,32170672399415.28,29133234165107.066,29919816904588.918,31422045287934.867,34916365474036.633,37453899687020.766,41337159587693.38,44923946156927.16,43167145791765.734,36925772883588.25,43495888563146.836,46479338349110.62,47706554395126.35,46536188536690.27
"Freshwater aquatic ecotoxicity (FAETP20) | Problem oriented approach: non baseline (CML, 1999) | FAETP 20 (Huijbregts, 1999 & 2000)",36355874490.31067,31910731379.218628,30996975457.84308,30142925674.513863,29070077771.164757,32020907280.762806,30824281653.663185,30884550110.198204,32350408926.687527,33973117112.0206,36375352146.36991,36968259292.1765,38324708435.485565,37955586705.99565,35557064482.0469,38162971121.78076,41178097578.62411,44486012584.16464,44609627227.36877
"Marine aquatic ecotoxicity (MAETP20) | Problem oriented approach: non baseline (CML, 1999) | MAETP 20 (Huijbregts, 1999 & 2000)",1300196058122.917,1177578797440.4329,1147084112680.4077,1116799449172.3071,1089211709793.4602,1239155993343.2144,1148564372519.3638,1149017920435.2266,1199275412282.6328,1275232873150.6853,1362502992316.4414,1421760395256.6558,1498202895725.3816,1471909440206.8433,1336278114395.7327,1487467720267.8403,1610954415644.3184,1728145485869.4175,1717949545149.007
"Freshwater sedimental ecotoxicity (FSETP20) | Problem oriented approach: non baseline (CML, 1999) | FSETP 20 (Huijbregts, 1999 & 2000)",113601501465.45056,99083639922.29745,96197340021.3645,93524787254.7677,90033070268.39572,99147258042.41913,95715831055.84341,95827481171.62898,100333675455.86371,105375630286.25275,112954784753.25465,114528773130.29865,118605739967.18419,117820248978.56583,110494490071.83936,118321732280.33905,127691960636.20674,138172424936.4591,138587535805.76776
"Marine sedimental ecotoxicity (MSETP20) | Problem oriented approach: non baseline (CML, 1999) | MSETP 20 (Huijbregts, 1999 & 2000)",3469558254992.896,3082153266196.6094,2996884265806.173,2916161674978.834,2827380646686.9336,3173950725774.72,2994573883511.64,2996281399623.3457,3131650366389.8643,3313571083717.926,3547263713509.2363,3657434611034.291,3827152931846.795,3781518174910.83,3481651293023.8745,3812985552125.209,4124030295311.3345,4442772286507.422,4432326745362.925
"Terrestrial ecotoxicity (TETP20) | Problem oriented approach: non baseline (CML, 1999) | TETP 20 (Huijbregts, 1999 & 2000)",4291806154.943016,4256167864.8587546,4187664461.1585774,4104963558.7494283,4132431326.966333,4878301642.14601,4278292136.7035475,4326194225.977099,4537187233.097434,4941926025.104317,5262397255.05435,5768577264.533055,6254262365.163794,6087712772.450741,5431079510.205755,6328126113.4823475,6799481761.244433,7189620011.0118,7049517066.050898
"human toxicity (HTP100) | Problem oriented approach: non baseline (CML, 1999) | HTP 100 (Huijbregts, 1999 & 2000)",29354058282513.418,29573173039180.277,29056864686112.0,28470638549820.97,29050437580635.33,32183193084939.46,29145483258430.047,29932466188514.45,31435289930262.01,34930351884144.098,37468599018049.055,41352766352991.08,44940425795986.195,43183607138842.32,36941598035316.69,43513297997886.11,46497833015231.47,47714481163771.77,46543841402407.266
"Freshwater aquatic ecotoxicity (FAETP100) | Problem oriented approach: non baseline (CML, 1999) | FAETP 100 (Huijbregts, 1999 & 2000)",44868835152.89048,40027519929.242546,38897853774.63615,37846675306.20915,36675204579.03213,40648006753.53256,38736018682.13169,38892481992.97334,40778001752.5807,42846761768.65898,45752334644.49797,46810836300.09042,48724243630.770905,47897855066.59517,44624887917.72568,48276040058.33888,52103562278.67714,56052223223.37001,56125503746.55985
"Marine aquatic ecotoxicity (MAETP100) | Problem oriented approach: non baseline (CML, 1999) | MAETP 100 (Huijbregts, 1999 & 2000)",3455048214023.876,3306462071538.7793,3237296252659.992,3157284881228.634,3131585214974.829,3697357440952.698,3264575981259.8535,3264442239951.8613,3394817219820.2256,3665502831116.807,3899414850530.691,4209553993437.7554,4522985197154.461,4380118670699.3496,3820762485900.7627,4453314813825.268,4844285151508.378,5141472106843.587,5061659621107.173
"Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)",135774322149.3794,119751588122.61385,116319018904.61597,113120567120.21405,109258668634.06253,121146011537.12595,115886316476.03099,116091695817.59729,121541234540.24588,127818411029.19028,136778653226.34048,139479219694.85837,144952142493.4135,143362036504.33755,133666091986.59952,144187454112.8692,155669433112.54703,167990301517.7702,168229465449.8342
